Grid_X,Grid_Y,Grid_Z,Range_Index,Time_Delay,Phase_Compensation,Index_Last,Index_Next,Interp_Weight,Data_Last_Real,Data_Last_Imag,Data_Next_Real,Data_Next_Imag,Power_Contrib_Real,Power_Contrib_Imag,Power_Contrib_Magnitude,Power_Contrib_Phase,Total_Power_Real,Total_Power_Imag,Total_Power_Magnitude,Total_Power_Phase
19.88,-0.16,-5.4,21,1.41161510241521e-06,88694.3927088804,85,86,0.696906144912475,19.5095717736068,76.5530966663693,3.67957933411804,14.4382047809672,-22.0983442932735,26.2694140485791,34.3281070692769,2.27017074088102,-418.329264697993,580.571755597891,715.58573008465,2.19517956562122
19.88,-0.16,-5.4,22,1.4116097379081e-06,88694.055646958,85,86,0.696584274485957,-7.48007146664203,78.645079508218,-1.41076988802065,14.8327606903188,-22.3029926840951,26.1230241809104,34.3487390601639,2.27747363713164,-440.632257382088,606.694779778802,749.823540612379,2.19894513797403
19.88,-0.16,-5.4,23,1.41160440912665e-06,88693.7208297451,85,86,0.696264547599199,-33.428656866291,71.5788020304599,-6.30477164747054,13.5000339201968,-22.5058062253454,25.9756214131977,34.3692336495094,2.28474632823375,-463.138063607433,632.670401191999,784.071873304028,2.20270156804682
19.88,-0.16,-5.4,24,1.41159911606039e-06,88693.3882565833,85,86,0.695946963623371,-55.3752533657165,56.3434229940169,-10.4439831007306,10.6265835697494,-22.7067887877194,25.8272279519133,34.3895908776216,2.29198900395889,-485.844852395153,658.497629143913,818.330219524503,2.20644881731893
19.88,-0.16,-5.4,25,1.41159385869825e-06,88693.0579267779,85,86,0.695631521895109,-70.9097066707683,34.8254719977433,-13.3738399941258,6.56821628638507,-22.9059354792193,25.6778737091002,34.409810787022,2.29920150516731,-508.750787874372,684.175502853013,852.598078151111,2.21018684541463
19.88,-0.16,-5.4,26,1.41158863702861e-06,88692.729839598,85,86,0.695318221716406,-78.4199720566364,9.55552105519957,-14.7903045699894,1.80220756300803,-23.1032308914366,25.5275984663359,34.4298934224535,2.30638324506757,-531.854018765809,709.703101319349,886.874956969495,2.21391559394914
19.88,-0.16,-5.4,27,1.41158345103925e-06,88692.4039942765,85,86,0.69500706235479,-77.2356069341886,-16.603042537665,-14.5669288096611,-3.13139688118232,-23.2986848817321,25.3764197288445,34.4498388308675,2.31353460663698,-555.152703647541,735.079521048193,921.160369659711,2.21763502597783
19.88,-0.16,-5.4,28,1.41157830071739e-06,88692.0803900102,85,86,0.694698043043275,-67.6585070310601,-40.7838991064856,-12.7606513939769,-7.69199826928012,-23.4922894573952,25.2243712426966,34.4696470614281,2.32065526251566,-578.644993104936,760.30389229089,955.45383806759,2.22134509669371
19.88,-0.16,-5.4,29,1.41157318604967e-06,88691.7590259597,85,86,0.694391162980295,-50.8855673299628,-60.428958600226,-9.59721126249958,-11.3971311019995,-23.6840415776225,25.0714826460589,34.4893181655159,2.32774506312447,-602.329034682558,785.375374936949,989.754891667112,2.2250457609612
19.88,-0.16,-5.4,30,1.41156810702216e-06,88691.4399012497,85,86,0.694086421329871,-28.8392248220867,-73.5479375078672,-5.43918733320902,-13.8714203500389,-23.8739380521173,24.9177840471129,34.5088521967174,2.33480383747841,-626.202972734676,810.293158984062,1024.0630676663,2.22873697267094
19.88,-0.16,-5.4,31,1.41156306362036e-06,88691.1230149684,85,86,0.693783817221473,-3.93069519067529,-78.902152285714,-0.741344041794519,-14.8812455925205,-24.0619810254542,24.7633007229679,34.528249210834,2.34183161411378,-650.26495376013,835.05645970703,1058.37791028871,2.23241869138357
19.88,-0.16,-5.4,32,1.41155805582917e-06,88690.8083661681,85,86,0.69348334975011,21.2140533824177,-76.0983832882666,4.00105103918384,-14.3524441108495,-24.2481641998199,24.6080663485438,34.5475092658756,2.3488280676352,-674.51311795995,859.664526055574,1092.69897211373,2.23609087034249
19.88,-0.16,-5.4,33,1.41155308363294e-06,88690.4959538653,85,86,0.693185017976433,44.0343147228575,-65.5894742080491,8.30503899965005,-12.3704239453426,-24.4324906429589,24.4521057985441,34.566632422055,2.35579323589221,-698.945608602908,884.116631854118,1127.02581270633,2.2397534685108
19.88,-0.16,-5.4,34,1.41154814701544e-06,88690.18577704,85,86,0.692888820926569,62.2910543766077,-48.5883169563478,11.7483294376899,-9.16394111704799,-24.6149595144848,24.2954479656839,34.5856187417976,2.36272698542919,-723.560568117393,908.412079819802,1161.35799928226,2.24340644468136
19.88,-0.16,-5.4,35,1.41154324595987e-06,88689.8778346364,85,86,0.692594757592261,74.2753825822394,-26.9103612436172,14.0086192539116,-5.07539633645987,-24.7955646666156,24.138127484932,34.6044682897332,2.36962894812635,-748.356132784009,932.550207304734,1195.69510771749,2.24704975077501
19.88,-0.16,-5.4,36,1.41153838044885e-06,88689.5721255628,85,86,0.692302826930941,78.9515736938574,-2.76568459217782,14.8905666577995,-0.521618618191982,-24.9743039599462,23.9801754260327,34.6231811326903,2.37649890209608,-773.330436743955,956.530382730766,1230.03672200535,2.25068333689078
19.88,-0.16,-5.4,37,1.41153355046443e-06,88689.2686486912,85,86,0.692013027865571,76.0251603596477,21.4749852686759,14.3386339884104,4.05026378395494,-25.1511950683842,23.8216023435723,34.6417573397079,2.38333744011064,-798.481631812339,980.351985074339,1264.38243066759,2.25430717369948
19.88,-0.16,-5.4,38,1.41152875598808e-06,88688.9674028579,85,86,0.691725359284845,65.935062638892,43.5151412132075,12.4356032359491,8.20712090390209,-25.3262257215089,23.6624501169183,34.6601969820205,2.39014389432444,-823.807857533848,1004.01443519126,1298.73183229138,2.25792121640485
19.88,-0.16,-5.4,39,1.41152399700072e-06,88688.6683868632,85,86,0.691439820043115,49.7761924890112,61.3459914036517,9.38797895407556,11.5700869716285,-25.4993984830576,23.5027455519823,34.6785001330649,2.39691819902103,-849.307256016906,1027.51718074324,1333.08453289561,2.26152542225609
19.88,-0.16,-5.4,40,1.41151927348267e-06,88688.3715994714,85,86,0.691156408960381,29.1650940610631,73.4193250337358,5.50064750933571,13.8471635489458,-25.6707126845681,23.3425191881378,34.6966668684793,2.40366013734777,-874.977968701474,1050.85969993138,1367.44014664366,2.26511974650631
19.88,-0.16,-5.4,41,1.41151458541371e-06,88688.0770394109,85,86,0.690875124822441,6.06558887771206,78.7667990435474,1.14399309952457,14.8557174569744,-25.8401717829403,23.1817973527662,34.7146972660944,2.41036965364359,-900.818140484414,1074.04149728414,1401.79829508891,2.26870414661896
19.88,-0.16,-5.4,42,1.41150993277301e-06,88687.7847053744,85,86,0.690595966380812,-17.4063019001123,77.0585534133762,-3.28289464772974,14.5335358431843,-26.0077783662469,23.0206075120541,34.7325914059383,2.41704664229067,-926.825918850661,1097.0621047962,1436.1586074084,2.27227858082053
19.88,-0.16,-5.4,43,1.41150531553921e-06,88687.4945960187,85,86,0.690318932352739,-39.1787484674637,68.6004786318814,-7.38926076237689,12.9383108155126,-26.1735365428849,22.8589756155374,34.7503493702361,2.42369105065476,-952.999455393546,1119.92108041173,1470.52072012977,2.27584300926111
19.88,-0.16,-5.4,44,1.41150073369036e-06,88687.2067099645,85,86,0.690044021421343,-57.4039399863496,54.2751109998274,-10.8266011023611,10.2364920721685,-26.3374443144912,22.6969348451055,34.7679712434,2.43030254511862,-979.336899708037,1142.61801525684,1504.88427858066,2.27939738738851
19.88,-0.16,-5.4,45,1.41149618720393e-06,88686.9210457971,85,86,0.689771232235515,-70.6067200299568,35.4357317775617,-13.3166955629215,6.68331359863366,-26.4995117192963,22.5345047678491,34.7854571120366,2.4368813062861,-1005.83641142733,1165.15252002469,1539.24893421204,2.28294167796348
19.88,-0.16,-5.4,46,1.41149167605683e-06,88686.6376020658,85,86,0.689500563409979,-77.7912396626392,13.766736423344,-14.6717232525475,2.59645877569262,-26.6597404011655,22.3717147608776,34.8028070649424,2.44342713459222,-1032.4961518285,1187.52423478557,1573.61434657406,2.28647584197083
19.88,-0.16,-5.4,47,1.41148720022542e-06,88686.3563772843,85,86,0.68923201352537,-78.4998918357051,-8.87507643812758,-14.8053777438582,-1.67387312389046,-26.8181250387549,22.2086029568182,34.8200211930993,2.44993950092934,-1059.31427686725,1209.73283774239,1607.98018516617,2.2899998317724
19.88,-0.16,-5.4,48,1.41148275968547e-06,88686.0773699304,85,86,0.688965581128201,-72.8231455753369,-30.6233484209891,-13.7347218387941,-5.77567982008742,-26.9746828029431,22.0451807772496,34.837099589676,2.45641887084233,-1086.2889596702,1231.77801851963,1642.34612393658,2.29351361283231
19.88,-0.16,-5.4,49,1.41147835441218e-06,88685.8005784464,85,86,0.688701264730938,-61.3633905364513,-49.7547415013983,-11.5733685141567,-9.38393321634063,-27.1294106173798,21.8814841290731,34.8540423500242,2.46286478865253,-1113.41837028758,1253.65950264871,1676.71184640511,2.29701714350323
19.88,-0.16,-5.4,50,1.4114739843802e-06,88685.526001239,85,86,0.688439062811966,-45.1595014743629,-64.8198999273141,-8.51725349445837,-12.2252793131425,-27.2823112734293,21.7175422511484,34.8708495716795,2.46927704543808,-1140.70068156101,1275.37704489986,1711.07704431193,2.30051038070255
19.88,-0.16,-5.4,51,1.41146964956359e-06,88685.253636679,85,86,0.688178973815695,-25.5813819665283,-74.743514077695,-4.82474579731975,-14.0969106319243,-27.4333976455002,21.553371891064,34.887521354356,2.47565588417232,-1168.13407920651,1296.93041679092,1745.44141494383,2.30399328896066
19.88,-0.16,-5.4,52,1.41146534993587e-06,88684.9834831018,85,86,0.687920996152485,-4.20559865843147,-78.8879771570054,-0.793191879900398,-14.8785721094087,-27.5826632150181,21.3890144903671,34.9040577999499,2.48200063919242,-1195.71674242152,1318.31943128129,1779.80466652972,2.30746582214876
19.88,-0.16,-5.4,53,1.41146108546998e-06,88684.7155388073,85,86,0.68766512819883,17.3168425941583,-77.078706284999,3.26602228285916,-14.5373367513132,-27.7301298909513,21.2244753498563,34.9204590125286,2.48831195430424,-1223.44687231248,1339.54390663114,1814.16651031922,2.31092794930122
19.88,-0.16,-5.4,54,1.41145685613829e-06,88684.4498020598,85,86,0.687411368297262,37.3890097490816,-69.5921112625784,7.05170924263831,-13.1253364958961,-27.8757904197591,21.0597974603361,34.9367250983361,2.49458909955459,-1251.32266273223,1360.60370409148,1848.52666895957,2.31437962767686
19.88,-0.16,-5.4,55,1.41145266191261e-06,88684.1862710881,85,86,0.687159714756433,54.5839251570049,-57.1103765917762,10.2947355950925,-10.7712339311868,-28.0196499810344,20.8950082337054,34.9528561657885,2.50083190801846,-1279.34231271327,1381.49871232518,1882.88487307501,2.3178208141128
