Pulso_ID,Tiempo_Vuelo_s,Fase_rad,Fase_deg,Indice_Rango_Last,Indice_Rango_Next,Indice_Azimut,Amplitud_Last,Amplitud_Next,Amplitud_Interpolada,Factor_Interpolacion_q,Fase_Compensacion_Real,Fase_Compensacion_Imag,Energia_Acumulada_Real,Energia_Acumulada_Imag,Energia_Acumulada_Magnitud
108,0.000001301297,88674.437842269384,5080671.039057190530,84,85,108,79.000000000001,14.899700043062,35.549569947897,0.677850650953,0.987794748814,-0.155761144756,-21.904740637641,27.999183221624,35.549569947897
109,0.000001301497,88674.571503991596,5080678.697309754789,84,85,109,79.000000000001,14.899700043062,35.541388343120,0.677978288496,0.999741542968,-0.022734275095,-33.203450314240,-12.677585439913,35.541388343120
110,0.000001301603,88674.992820634230,5080702.836975216866,84,85,110,79.000000000001,14.899700043062,35.515599013172,0.678380616254,0.921612880619,0.388110420213,-23.169026464741,26.917540488323,35.515599013172
111,0.000001300765,88675.328795458627,5080722.086914677173,84,85,111,79.000000000001,14.899700043062,35.495033564945,0.678701448578,0.742128934974,0.670257147574,-17.091051524324,-31.109377453904,35.495033564945
112,0.000001300868,88674.337418072915,5080665.285174571909,84,85,112,79.000000000001,14.899700043062,35.555717041260,0.677754752910,0.967202059882,-0.254008219080,-25.791587009911,24.474538888984,35.555717041260
113,0.000001300955,88673.673147232606,5080627.225258967839,84,85,113,79.000000000001,14.899700043062,35.596377908034,0.677120420983,0.604950208030,-0.796263301807,-34.155857026389,10.023948870802,35.596377908034
114,0.000001301063,88673.543427520373,5080619.792866936885,84,85,114,79.000000000001,14.899700043062,35.604318217344,0.676996547782,0.496865924343,-0.867827317631,-35.030659061997,6.365563714556,35.604318217344
115,0.000001301272,88673.107486335721,5080594.815276940353,84,85,115,79.000000000001,14.899700043062,35.631002734193,0.676580254616,0.083943538152,-0.996470512561,20.305978336309,29.278586025446,35.631002734193
116,0.000001301364,88672.944536165509,5080585.478919916786,84,85,116,79.000000000001,14.899700043062,35.640977122290,0.676424648665,-0.078825873105,-0.996888399837,-34.043088525585,10.552126509418,35.640977122290
117,0.000001301478,88673.386309583060,5080610.790672243573,84,85,117,79.000000000001,14.899700043062,35.613935607013,0.676846511204,0.354954768023,-0.934883475444,-5.859537357385,35.128595636288,35.613935607013
118,0.000001301575,88674.140085560051,5080653.978854423389,84,85,118,79.000000000001,14.899700043062,35.567796016474,0.677566314240,0.898632199866,-0.438702825799,-21.230217448846,-28.536747897128,35.567796016474
119,0.000001300765,88674.147077215544,5080654.379446775652,84,85,119,79.000000000001,14.899700043062,35.567368048309,0.677572990780,0.901677469958,-0.432409227665,-34.256367051117,-9.567600866626,35.567368048309
120,0.000001300857,88673.371219033972,5080609.926047470421,84,85,120,79.000000000001,14.899700043062,35.614859318801,0.676832100791,0.340806983280,-0.940133288501,-34.524979701694,8.743224856745,35.614859318801
121,0.000001301076,88672.457494354894,5080557.573479722254,84,85,121,79.000000000001,14.899700043062,35.670789573738,0.675959557995,-0.536217548398,-0.844079818969,-35.653474242056,1.111307016493,35.670789573738
122,0.000001301192,88672.030261451917,5080533.094837512821,84,85,122,79.000000000001,14.899700043062,35.696941045541,0.675551580625,-0.837767918321,-0.546026478325,23.201054194443,27.129000797585,35.696941045541
123,0.000001301290,88671.869314606083,5080523.873262519948,84,85,123,79.000000000001,14.899700043062,35.706792807592,0.675397887709,-0.914442917860,-0.404714899621,-28.418026012521,21.619224087742,35.706792807592
124,0.000001301411,88672.423475414573,5080555.624338018708,84,85,124,79.000000000001,14.899700043062,35.672871916536,0.675927072300,-0.564616461950,-0.825353409695,-23.084754818309,27.196468258804,35.672871916536
125,0.000001301514,88673.247166247893,5080602.818346391432,84,85,125,79.000000000001,14.899700043062,35.622452748322,0.676713639107,0.221860733886,-0.975078363394,-28.358432462862,-21.558257073700,35.622452748322
126,0.000001300716,88673.754517487629,5080631.887431158684,84,85,126,79.000000000001,14.899700043062,35.591397130770,0.677198123853,0.667669261517,-0.744458029190,-19.515719923427,-29.763807310062,35.591397130770
127,0.000001300946,88672.530679967036,5080561.766706419177,84,85,127,79.000000000001,14.899700043062,35.666309788921,0.676029445107,-0.473062795171,-0.881028712259,-23.768361705951,26.592304070432,35.666309788921
128,0.000001301045,88671.464527905977,5080500.680693001486,84,85,128,79.000000000001,14.899700043062,35.731570318642,0.675011344883,-0.999929429661,-0.011880054595,-35.427449662105,4.651981069935,35.731570318642
